code	id	message
400	CONNECTION_DEVICE_MODEL_EMPTY	The device model is empty
400	CONNECTION_LANG_PACK_INVALID	The specified language pack is not valid
400	CONNECTION_LAYER_INVALID	The connection layer is invalid. Missing InvokeWithLayer-InitConnection call
400	CONNECTION_NOT_INITED	The connection was not initialized
400	CONNECTION_SYSTEM_EMPTY	The connection to the system is empty
400	CONNECTION_SYSTEM_LANG_CODE_EMPTY	The system language code is empty
400	CONTACT_ADD_MISSING	Contact to add is missing
400	CONTACT_ID_INVALID	The provided contact id is invalid
400	CONTACT_NAME_EMPTY	The provided contact name is empty
400	CONTACT_REQ_MISSING	Missing contact request
400	CREATE_CALL_FAILED	An error occurred while creating the call.
400	CURRENCY_TOTAL_AMOUNT_INVALID	The total amount of all prices is invalid.
400	CUSTOM_REACTIONS_TOO_MANY	
400	DATA_INVALID	The encrypted data is invalid
400	DATA_JSON_INVALID	The provided JSON data is invalid
400	DATA_TOO_LONG	Data too long
400	DATE_EMPTY	The date argument is empty
400	DC_ID_INVALID	The dc_id parameter is invalid
400	DH_G_A_INVALID	The g_a parameter invalid
400	DOCUMENT_INVALID	The document is invalid
400	EMAIL_HASH_EXPIRED	The email hash expired and cannot be used to verify it
400	EMAIL_INVALID	The email provided is invalid
400	EMAIL_NOT_SETUP	In order to change the login email with emailVerifyPurposeLoginChange, an existing login email must already be set using emailVerifyPurposeLoginSetup.
400	EMAIL_UNCONFIRMED	Email unconfirmed
400	EMAIL_UNCONFIRMED_X	The provided email isn't confirmed, {value} is the length of the verification code that was just sent to the email
400	EMAIL_VERIFY_EXPIRED	The verification email has expired
400	EMOJI_INVALID	The specified theme emoji is valid.
400	EMOJI_MARKUP_INVALID	The specified video_emoji_markup was invalid.
400	EMOJI_NOT_MODIFIED	The theme wasn't changed.
400	EMOTICON_EMPTY	The emoticon parameter is empty
400	EMOTICON_INVALID	The emoticon parameter is invalid
400	EMOTICON_STICKERPACK_MISSING	The emoticon sticker pack you are trying to obtain is missing
400	ENCRYPTED_MESSAGE_INVALID	The special binding message (bind_auth_key_inner) contains invalid data
400	ENCRYPTION_ALREADY_ACCEPTED	The secret chat is already accepted
400	ENCRYPTION_ALREADY_DECLINED	The secret chat is already declined
400	ENCRYPTION_DECLINED	The secret chat was declined
400	ENCRYPTION_ID_INVALID	The provided secret chat id is invalid
400	ENTITIES_TOO_LONG	The entity provided contains data that is too long, or you passed too many entities to this message
400	ENTITY_BOUNDS_INVALID	A specified entity offset or length is invalid, see here » for info on how to properly compute the entity offset/length.
400	ENTITY_MENTION_USER_INVALID	The mentioned entity is not an user
400	ERROR_TEXT_EMPTY	The provided error message is empty
400	EXPIRE_DATE_INVALID	The expiration date is invalid
400	EXPORT_CARD_INVALID	The provided card is invalid
400	EXTERNAL_URL_INVALID	The external media URL is invalid
400	FIELD_NAME_EMPTY	The field with the name FIELD_NAME is missing
400	FIELD_NAME_INVALID	The field with the name FIELD_NAME is invalid
400	FILE_CONTENT_TYPE_INVALID	File content-type is invalid.
400	FILE_EMTPY	An empty file was provided.
400	FILE_ID_INVALID	The file id is invalid
400	FILE_MIGRATE_X	The file is in Data Center No. {value}
400	FILE_PARTS_INVALID	Invalid number of parts.
400	FILE_PART_EMPTY	The file part sent is empty
400	FILE_PART_INVALID	The file part number is invalid.
400	FILE_PART_LENGTH_INVALID	The length of a file part is invalid
400	FILE_PART_SIZE_CHANGED	The part size is different from the size of one of the previous parts in the same file
400	FILE_PART_SIZE_INVALID	The file part size is invalid
400	FILE_PART_TOO_BIG	The size limit for the content of the file part has been exceeded
400	FILE_PART_X_MISSING	Part {value} of the file is missing from storage
400	FILE_REFERENCE_*	The file reference expired, it must be refreshed.
400	FILE_REFERENCE_EMPTY	The file id contains an empty file reference, you must obtain a valid one by fetching the message from the origin context
400	FILE_REFERENCE_EXPIRED	The file id contains an expired file reference, you must obtain a valid one by fetching the message from the origin context
400	FILE_REFERENCE_INVALID	The file id contains an invalid file reference, you must obtain a valid one by fetching the message from the origin context
400	FILE_TITLE_EMPTY	An empty file title was specified.
400	FILE_TOKEN_INVALID	The specified file token is invalid.
400	FILTER_ID_INVALID	The specified filter ID is invalid
400	FILTER_INCLUDE_EMPTY	The include_peers vector of the filter is empty.
400	FILTER_NOT_SUPPORTED	The specified filter cannot be used in this context.
400	FILTER_TITLE_EMPTY	The title field of the filter is empty.
400	FIRSTNAME_INVALID	The first name is invalid
400	FOLDER_ID_EMPTY	The folder you tried to delete was already empty
400	FOLDER_ID_INVALID	The folder id is invalid
400	FORUM_ENABLED	You can't execute the specified action because the group is a forum, disable forum functionality to continue.
400	FRESH_CHANGE_ADMINS_FORBIDDEN	You can't change administrator settings in this chat because your session was logged-in recently
400	FROM_MESSAGE_BOT_DISABLED	Bots can't use fromMessage min constructors
400	FROM_PEER_INVALID	The from peer value is invalid
400	GAME_BOT_INVALID	You cannot send that game with the current bot
400	GENERAL_MODIFY_ICON_FORBIDDEN	You can't modify the icon of the """General""" topic.
400	GEO_POINT_INVALID	Invalid geo point provided
400	GIFT_SLUG_INVALID	
400	GIF_CONTENT_TYPE_INVALID	GIF content-type invalid
400	GIF_ID_INVALID	The provided gif/animation id is invalid
400	GRAPH_EXPIRED_RELOAD	This graph has expired, please obtain a new graph token.
400	GRAPH_INVALID_RELOAD	Invalid graph token provided, please reload the stats and provide the updated token
400	GRAPH_OUTDATED_RELOAD	The graph data is outdated
400	GROUPCALL_ALREADY_DISCARDED	The group call was already discarded.
400	GROUPCALL_INVALID	The specified group call is invalid.
400	GROUPCALL_JOIN_MISSING	You haven't joined this group call.
400	GROUPCALL_NOT_MODIFIED	Group call settings weren't modified.
400	GROUPCALL_SSRC_DUPLICATE_MUCH	Too many group call synchronization source duplicates
400	GROUPED_MEDIA_INVALID	The album contains invalid media
400	GROUP_CALL_INVALID	The group call is invalid
400	HASH_INVALID	The provided hash is invalid
400	HIDE_REQUESTER_MISSING	The join request was missing or was already handled.
